4747.237576186657,19752.470870018005
2810.6666209697723,19797.945420265198
1025.11266040802,19371.311107635498
-162.22927540540695,18428.3694524765
-610.1168466210365,17081.802492141724
-685.4531839489937,14844.354752540588
-627.2028940320015,-32020.494079589844
-620.7087731361389,-34749.71015262604
-617.596279323101,-36616.1484336853
-289.81184351444244,-37713.25580787659
527.9066565036774,-38971.45466995239
1957.1312248110771,-39617.479226112366
3794.3560498952866,-40056.173829078674
5589.884541928768,-40377.3813829422
